"gene","modules","cell_type","module_name","name","merge_module"
"DNAJB11","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"DNAJC3","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"EDEM2","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"FKBP11","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"HDLBP","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"HSP90B1","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"HSPA5","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"LMAN1","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"LMAN2","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"MYDGF","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"MZB1","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"PDIA4","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"PDIA6","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"PPIB","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"PRDX4","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"RABAC1","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SEC11C","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SELENOK","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SELENOS","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SPCS1","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SPCS2","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SPCS3","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"SSR3","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"TMED10","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"TMED9","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"TRAM1","15_2","B","B_1_2","B_1_2: endoplasmic reticulum protein-containing complex","B_2"
"ATP5MJ","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"ATP5MK","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"COX6B1","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"COX7B","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"HSD17B10","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"MRPL51","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"NDUFAB1","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"NDUFB3","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"NDUFS6","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"NUDT5","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"POLR2L","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"PSMA5","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"PSMB3","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"RNASEH2C","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"STOML2","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"TXNDC17","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"UBE2L3","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"UFD1","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"YWHAE","14_3","B","B_2_1","B_2_1: respiratory chain complex","B_3"
"ALG5","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ARF4","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ARFGAP3","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ATF4","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"B4GALT3","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"CD59","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"COPG1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"DAD1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"DDOST","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"DERL1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"DERL2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"DERL3","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"DNAJC1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ERGIC3","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ERLEC1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"FKBP2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"HM13","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"IDH2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ISG20","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ITM2C","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"KDELR1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"KLF13","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"LRPAP1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"MGAT1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"MORF4L2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"NUCB1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"NUCB2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"OS9","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"P4HB","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"RPN1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"RPN2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SAR1B","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SEC61A1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SEC61B","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SRP54","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SRPRA","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SRPRB","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SSR1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"SSR2","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ST6GALNAC4","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"TMBIM6","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"TMCO1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"TMEM208","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"TNFRSF17","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"TXNDC15","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"UBE2J1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"ZBP1","13_4","B","B_3_1","B_3_1: Protein processing in endoplasmic reticulum","B_2"
"COMMD6","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"EIF3E","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"EIF3H","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"EIF3L","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"NSA2","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RACK1","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL10A","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL22","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL26","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL28","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL34","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL35A","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL36","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL36A","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL37","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL39","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL41","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPL6","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPLP2","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS16","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS18","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS21","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS25","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS27","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS28","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPS6","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"RPSA","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"TOMM7","13_5","B","B_3_2","B_3_2: cytoplasmic translation","B_1"
"ANAPC11","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ATP5F1C","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ATP5MC3","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ATP5ME","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ATP5MF","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ATP5PF","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"AURKAIP1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"BOLA3","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"CHCHD2","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"COPS9","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"COX17","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"COX6C","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"COX8A","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ELOB","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"MDH2","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"MIF","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"MMADHC","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"MRPS16","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"MRPS33","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"MRPS7","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"NDUFA2","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"NDUFB10","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"NDUFB6","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"NDUFC1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"NDUFS5","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"NOP10","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"PARK7","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"POLDIP2","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"POP7","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"PPA1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"PRDX1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"PSMB1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"PSMB2","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"RPL26L1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"RPS19BP1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"TUFM","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"TXN","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"UQCRC1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"UQCRH","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ZNHIT1","12_6","B","B_4_1","B_4_1: oxidative phosphorylation","B_3"
"ADRM1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"AHCY","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"ATG3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"ATP5MC1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"CALM3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"CLPP","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"COX5B","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"EIF2S1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"ELOC","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"ETFB","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"GTF3C6","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"LAGE3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MRPL27","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MRPL37","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MRPL41","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MRPL57","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MRPS15","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MRPS34","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"MTCH2","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"NDUFA6","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"NUDT21","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PDHA1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PGAM1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PRDX3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PRDX6","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMA3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMA4","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMB4","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMB6","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMC3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMD1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMD11","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMD3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"PSMD7","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"SLC25A11","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"SNF8","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"SUCLG1","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"TIMM8B","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"TMEM126A","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"TRAPPC2L","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"TXNL4A","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"VDAC3","11_7","B","B_5_1","B_5_1: Parkinson disease","B_3"
"ACADVL","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"ARMCX3","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"CD27","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"CHID1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"CHST12","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"DNAJB9","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"EDEM1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"FBH1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"GALNT2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"GLT8D1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"IFNAR2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"JCHAIN","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"KDELR2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"KRTCAP2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"LMO4","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"MAN1A2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"MANF","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"MEI1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"NMRK1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"OSTC","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"PDIA3","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"PIM2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"PLD3","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"RRBP1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SDF2L1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SDF4","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SEC14L1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SERP1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SLC38A10","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SPATS2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"SSR4","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"TAPBPL","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"TENT5C","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"TM9SF2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"TMEM59","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"TPST2","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"TXNDC11","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"UBXN4","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"WDR45","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"XBP1","11_8","B","B_5_2","B_5_2: Protein processing in endoplasmic reticulum","B_2"
"ACTR1A","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"ADI1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"ANAPC15","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"ATP5F1B","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"BAG1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"BUD23","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"C12orf75","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"CAMTA1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"CKLF","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"CYC1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"EIF2S2","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"EMC6","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"FAM136A","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"FDPS","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"GLRX5","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"GSTP1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"GUK1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"MCTS1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"MPDU1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"MRPL20","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"MRPL33","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"MRPL36","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"MTDH","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"NDUFB1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"NDUFV2","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"NME1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"NTMT1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PDCD5","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"POMP","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PRDX2","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PRELID1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PSMB7","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PSMC4","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PSMD14","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"PSME2","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"SDHB","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"SLC25A4","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"SLIRP","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"SRA1","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"TMEM167A","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"UBL5","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"UCHL5","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"UQCC2","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"VMA21","10_10","B","B_6_1","B_6_1: Huntington disease","B_3"
"AKR1A1","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"CALR","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"CASP3","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"CCNC","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"CD38","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"CNP","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"GMPPA","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"GORASP2","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"HSPA13","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"IBTK","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"IFI27L2","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
"IGHA1","10_9","B","B_6_2","B_6_2: Asparagine N-linked glycosylation","B_2"
